Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
11.  AN83_coor_473_477.tif	8fb12e54-1153-4c61-b976-5a8949741d4b	Annotation	Root		Root object (Image)	Polygon	4477.5	8308.6	NaN	NaN	NaN	4424	69569008.1	43008.1
11.  AN83_coor_473_477.tif	f6341b22-5d9d-4c68-a8d6-611f5a773379	Annotation	Root		Root object (Image)	Polygon	4477.5	8308.6	NaN	NaN	NaN	4424	69569008.1	43008.1
11.  AN83_coor_473_477.tif	eb314353-875f-4cd0-9146-d6971d495cda	Annotation	root	Left: root	Root	Polygon	2768.7	8368.2	997	0	NaN	2521	34988588.6	31176
11.  AN83_coor_473_477.tif	4a4bb697-7cf7-4401-9506-3d22742b23bd	Annotation	grey	Left: grey	root	Geometry	2666.5	8249.7	8	0	997	1802	29296291.2	75314.4
11.  AN83_coor_473_477.tif	2e68de2b-a018-4691-899a-a1b6c8500dd2	Annotation	CB	Left: CB	grey	Polygon	2635.6	12045	512	0	8	191	5469969.4	23006.9
11.  AN83_coor_473_477.tif	202fb4c8-d26c-4db1-8f60-dd7b159c37a5	Annotation	CBN	Left: CBN	CB	Polygon	3406	12479.1	519	0	512	0	17289.8	532.13
11.  AN83_coor_473_477.tif	6caf5e3d-d762-471e-8ca9-6421f343e87d	Annotation	FN	Left: FN	CBN	Polygon	3406	12479.1	989	0	519	0	17289.8	532.13
11.  AN83_coor_473_477.tif	3d4232a0-576a-4a7d-b621-6509bc6b3ff0	Annotation	CBX	Left: CBX	CB	Polygon	2630.1	12052.9	528	0	512	186	5421854.6	23237.7
11.  AN83_coor_473_477.tif	703f956c-da6f-4433-a9f8-7fad6f712f63	Annotation	HEM	Left: HEM	CBX	Polygon	2186.7	12140.6	1073	0	528	90	3784543.9	17351.3
11.  AN83_coor_473_477.tif	3ca693f6-41f6-4342-a4fb-70155e6f098e	Annotation	PRM	Left: PRM	HEM	Polygon	3119.7	13027.2	1025	0	1073	2	602683.2	3923.4
11.  AN83_coor_473_477.tif	d377412f-3646-4c13-ba4f-f1ef4a70dd29	Annotation	COPY	Left: COPY	HEM	Polygon	3541.2	13129.9	1033	0	1073	0	44283.4	1870.7
11.  AN83_coor_473_477.tif	5115f04a-60dc-4814-8a7f-d6f4f9ffb785	Annotation	SIM	Left: SIM	HEM	Polygon	2336.3	11281	1007	0	1073	54	702230.6	6094.4
11.  AN83_coor_473_477.tif	a85b6676-5131-4632-9f45-18e9a5bc9859	Annotation	AN	Left: AN	HEM	Polygon	1888.1	12151.1	1017	0	1073	34	2435346.7	10237.1
11.  AN83_coor_473_477.tif	9b880485-4f4f-439c-830b-51b7a9bd58fd	Annotation	ANcr1	Left: ANcr1	AN	Polygon	1779	11726	1056	0	1017	4	1130991.4	7242.9
11.  AN83_coor_473_477.tif	4b474514-c777-43aa-afde-7c7bec7245b4	Annotation	ANcr2	Left: ANcr2	AN	Polygon	1982.6	12519.7	1064	0	1017	30	1304355.2	6838.8
11.  AN83_coor_473_477.tif	2b16c595-46d4-4a87-aa2d-9e4b87315b66	Annotation	VERM	Left: VERM	CBX	Geometry	3762.4	11937.7	645	0	528	170	2031736.8	14961.9
11.  AN83_coor_473_477.tif	e19fb764-35c6-4618-b36b-0ce24b0ba740	Annotation	CENT	Left: CENT	VERM	Geometry	3947.3	11548.6	920	0	645	135	972764.2	5994.1
11.  AN83_coor_473_477.tif	27fa6b2b-6aaa-4269-96e0-fdacd3a5357b	Annotation	CENT2	Left: CENT2	CENT	Polygon	4038.4	11401.5	976	0	920	26	519883.9	2981
11.  AN83_coor_473_477.tif	410fcb32-877f-44a0-9eb1-7cfb641f285e	Annotation	CENT3	Left: CENT3	CENT	Geometry	3842.7	11717.5	984	0	920	109	452880.2	5512.4
11.  AN83_coor_473_477.tif	a5eeefb8-f759-42a7-ad50-cb5f21cadbad	Annotation	CUL	Left: CUL	VERM	Geometry	3271.7	11640.6	928	0	645	30	560489.4	7035
11.  AN83_coor_473_477.tif	966d609b-3970-4c6b-96dc-1ec5dcdabb15	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Geometry	3271.7	11640.6	1091	0	928	30	560489.4	7035
11.  AN83_coor_473_477.tif	66417f95-5f88-4a7d-b055-fe8e5dc0c7e4	Annotation	DEC	Left: DEC	VERM	Polygon	4215.6	12613.3	936	0	645	5	81654.4	1549
11.  AN83_coor_473_477.tif	2b70cabd-7c14-49aa-ac81-fdd4793b1390	Annotation	PYR	Left: PYR	VERM	Geometry	3901.7	13113.1	951	0	645	0	416735.5	3674.6
11.  AN83_coor_473_477.tif	1ac7857c-9d1d-4b0a-a034-a7e4a2edcbea	Annotation	CH	Left: CH	grey	Geometry	2345.7	6670.1	567	0	8	1137	17179776	40561.7
11.  AN83_coor_473_477.tif	64480158-bcf5-4b43-879f-d8ac9a3dbbbd	Annotation	CNU	Left: CNU	CH	Geometry	3055.6	6705.6	623	0	567	381	2353038.3	9428.4
11.  AN83_coor_473_477.tif	92e05e9f-7c99-4848-9c5b-c2ebd329dd50	Annotation	PAL	Left: PAL	CNU	Polygon	4454.4	6735.8	803	0	623	1	39989.4	832.26
11.  AN83_coor_473_477.tif	e7cf93ed-84d8-4da3-b5b2-f7e4e9f444af	Annotation	PALm	Left: PALm	PAL	Polygon	4454.4	6735.8	826	0	803	1	39989.4	832.26
11.  AN83_coor_473_477.tif	8b353bd9-a583-499f-9fae-f7887e32677e	Annotation	TRS	Left: TRS	PALm	Polygon	4454.4	6735.8	581	0	826	1	39989.4	832.26
11.  AN83_coor_473_477.tif	434831e4-d4c1-4895-93a0-9c535af52756	Annotation	STR	Left: STR	CNU	Geometry	3031.3	6705	477	0	623	380	2312899.7	9953.6
11.  AN83_coor_473_477.tif	c982e298-96df-4994-8043-8c9872631425	Annotation	LSX	Left: LSX	STR	Polygon	4218.8	6451.9	275	0	477	41	466526.6	3347.1
11.  AN83_coor_473_477.tif	4666cc0a-3b04-44b7-8957-99cd2bda8c3d	Annotation	LS	Left: LS	LSX	Polygon	4176.7	6399.7	242	0	275	36	379351.2	2397.5
11.  AN83_coor_473_477.tif	56a9e8eb-a5d0-4234-a453-4c4b70c47a5b	Annotation	LSc	Left: LSc	LS	Polygon	4103	6400.6	250	0	242	25	291180.5	2144.5
11.  AN83_coor_473_477.tif	8508ade7-5c60-4513-afc7-231d817eed69	Annotation	LSr	Left: LSr	LS	Polygon	4416.5	6395.2	258	0	242	11	88152.4	1359.2
11.  AN83_coor_473_477.tif	7a1a7836-c651-4cf3-aa16-f2fb6ce2469d	Annotation	SF	Left: SF	LSX	Polygon	4406.6	6683.1	310	0	275	5	86987.2	2238.8
11.  AN83_coor_473_477.tif	4a22ac7b-479b-4c3f-89ee-5733d513bbbc	Annotation	STRd	Left: STRd	STR	Polygon	2728.6	6769.9	485	0	477	339	1843651.9	6561.6
11.  AN83_coor_473_477.tif	38c5b914-88c4-4908-826f-998b24e1eb8e	Annotation	CP	Left: CP	STRd	Polygon	2728.6	6769.9	672	0	485	339	1843651.9	6561.6
11.  AN83_coor_473_477.tif	ca80502d-0cfa-43e9-bb78-17efaeae9e1a	Annotation	CTX	Left: CTX	CH	Geometry	2233	6664.4	688	0	567	756	14826737.7	31133.3
11.  AN83_coor_473_477.tif	67b2ab9d-75dd-466f-a74a-a2375b8e85cb	Annotation	CTXpl	Left: CTXpl	CTX	Geometry	2233	6664.4	695	0	688	756	14826737.7	31133.3
11.  AN83_coor_473_477.tif	fb5bdc9e-0aa8-4c1d-a8b4-88ba67311f2b	Annotation	HPF	Left: HPF	CTXpl	Geometry	1875.7	9533.7	1089	0	695	193	3318431.1	10689.3
11.  AN83_coor_473_477.tif	fe4e4d0c-f180-4e3c-81e2-a3b2aaa3ad8a	Annotation	HIP	Left: HIP	HPF	Geometry	2060.7	8905.9	1080	0	1089	162	1844781	7271.5
11.  AN83_coor_473_477.tif	6c29d165-563a-484b-8c04-4981b70cc1c2	Annotation	IG	Left: IG	HIP	Polygon	4466.1	5645	19	0	1080	5	33861.3	744.72
11.  AN83_coor_473_477.tif	8ebffbe7-5fec-47b0-b344-0f8de56d6874	Annotation	DG	Left: DG	HIP	Geometry	2437.1	9020.2	726	0	1080	92	714494.8	4689.5
11.  AN83_coor_473_477.tif	6ce9f31c-bbe5-4a40-a7a4-0868f08f7c9d	Annotation	DG-sg	Left: DG-sg	DG	Polygon	2187	9279.7	632	0	726	24	147311.3	3109.6
