Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
19.  AN83_coor_633_637.tif	58794a9c-79df-40dd-a51a-fa24cc56d1e2	Annotation	Root		Root object (Image)	Geometry	4479.3	8028.1	NaN	NaN	NaN	5907	71757057.4	66700.3
19.  AN83_coor_633_637.tif	990aee18-4860-44ec-a44e-526d0876b3a3	Annotation	Root		Root object (Image)	Geometry	4479.3	8028.1	NaN	NaN	NaN	5907	71757057.4	66700.3
19.  AN83_coor_633_637.tif	6c92c82e-0f00-4e2e-9622-692ad3ed47c9	Annotation	root	Left: root	Root	Polygon	2780	8112.4	997	0	NaN	3545	35878468.6	32453.2
19.  AN83_coor_633_637.tif	62b40f11-751d-4cdb-94e0-76c0091d3ee6	Annotation	grey	Left: grey	root	Geometry	2755	7983.1	8	0	997	2961	32169748.3	94018.2
19.  AN83_coor_633_637.tif	3405e484-5dca-4c0c-a964-671dcf47e6be	Annotation	CB	Left: CB	grey	Geometry	2737	12287.2	512	0	8	86	4803136.7	22262.3
19.  AN83_coor_633_637.tif	f3a3c0f0-e33f-4978-a67d-2c03b5d4601f	Annotation	CBN	Left: CBN	CB	Geometry	2549.1	11789.7	519	0	512	14	351706.5	3343
19.  AN83_coor_633_637.tif	4ce90549-9b93-41ba-9efc-c10bd912f489	Annotation	VeCB	Left: VeCB	CBN	Geometry	3364.2	11972.8	589508455	0	519	0	331.27	186.27
19.  AN83_coor_633_637.tif	705331b6-e593-4c02-9c44-5b7bf3be0ce4	Annotation	IP	Left: IP	CBN	Polygon	2795.5	12038.8	91	0	519	2	152136.1	1658.5
19.  AN83_coor_633_637.tif	8d20e69a-8cfb-42d4-acdc-614a6bd85fc2	Annotation	DN	Left: DN	CBN	Polygon	2360.7	11600.4	846	0	519	12	199237.3	1847.9
19.  AN83_coor_633_637.tif	b6b8d30a-ee67-4bff-8180-657cceb1f542	Annotation	CBX	Left: CBX	CB	Geometry	2748.2	12356.5	528	0	512	46	4278641.7	17733.8
19.  AN83_coor_633_637.tif	7bfa7907-749f-43b0-a370-0c5960b7d4af	Annotation	HEM	Left: HEM	CBX	Geometry	2127	12309.6	1073	0	528	22	2510198.7	10740.2
19.  AN83_coor_633_637.tif	a8e9ccc0-3957-4f54-b2e2-df3303015104	Annotation	PRM	Left: PRM	HEM	Geometry	1905.2	12418.4	1025	0	1073	13	1342833.1	6729.7
19.  AN83_coor_633_637.tif	eb1326b1-142e-4d74-bf96-d993ae6ef792	Annotation	COPY	Left: COPY	HEM	Polygon	2612.4	12468.6	1033	0	1073	2	887917.6	6535.3
19.  AN83_coor_633_637.tif	b01d85d5-e7de-4d9d-a41a-94035b0a064c	Annotation	PFL	Left: PFL	HEM	Geometry	1589.6	11358.3	1041	0	1073	3	217440.5	2057.5
19.  AN83_coor_633_637.tif	0cd24e9e-04e5-427b-9965-7e089275c388	Annotation	SIM	Left: SIM	HEM	Geometry	1899.5	10974.4	1007	0	1073	4	58534.5	1217.7
