Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
5. AN83_coor_353_357.tif	910f14cb-cd36-4f1d-a878-ec0bd15eb92a	Annotation	Root		Root object (Image)	Geometry	4525.4	8693.5	NaN	NaN	NaN	3249	59315376.7	55069.9
5. AN83_coor_353_357.tif	3c0d9057-17fb-4cfe-86ec-6ef1c59bd48b	Annotation	Root		Root object (Image)	Geometry	4525.4	8693.5	NaN	NaN	NaN	3249	59315376.7	55069.9
5. AN83_coor_353_357.tif	8723a185-5346-4478-b10e-85f7db1d8ca4	Annotation	root	Left: root	Root	Polygon	2748.4	8756.4	997	0	NaN	1636	27618386.3	27702
5. AN83_coor_353_357.tif	e59841c3-73dd-4f00-8da4-5827c1207fa4	Annotation	grey	Left: grey	root	Geometry	2733.8	8764.1	8	0	997	1065	25120220.1	56108.4
5. AN83_coor_353_357.tif	aafd2b14-f594-4815-997a-e757c2164c3e	Annotation	CB	Left: CB	grey	Polygon	2966.1	12155.5	512	0	8	78	5221971.7	22037.3
5. AN83_coor_353_357.tif	8a18c500-7845-4a3f-90c3-702028ecd7e1	Annotation	CBX	Left: CBX	CB	Polygon	2965.2	12157	528	0	512	78	5211865.6	22090.2
5. AN83_coor_353_357.tif	dcf0aca2-8637-4739-a620-91ad10cdef8f	Annotation	HEM	Left: HEM	CBX	Polygon	2267	12072.7	1073	0	528	65	2695030.7	12463.1
5. AN83_coor_353_357.tif	646d91e5-53bf-49cb-ac38-fdb79a3c5794	Annotation	SIM	Left: SIM	HEM	Polygon	2380.3	11569.8	1007	0	1073	60	913328.9	7072.2
5. AN83_coor_353_357.tif	518dcaaf-3f91-457e-9eda-b669f9e4c381	Annotation	AN	Left: AN	HEM	Polygon	2208.9	12330.4	1017	0	1073	5	1781701.8	8444.3
5. AN83_coor_353_357.tif	4c799e4c-7a36-4a1f-a968-ad871cbfdb7c	Annotation	ANcr1	Left: ANcr1	AN	Polygon	2040.6	12052.3	1056	0	1017	2	1120141.3	7822.3
5. AN83_coor_353_357.tif	c059beba-05ee-4055-a6e1-00f9ef5e5289	Annotation	ANcr2	Left: ANcr2	AN	Polygon	2493.8	12801.3	1064	0	1017	3	661560.6	3979.2
5. AN83_coor_353_357.tif	c954cf78-568a-485c-be3d-dba3ddf5842b	Annotation	VERM	Left: VERM	CBX	Geometry	3712.8	12247.2	645	0	528	13	2516869.7	13540.7
5. AN83_coor_353_357.tif	65fab291-428a-438c-904e-da523cabd4a1	Annotation	CENT	Left: CENT	VERM	Polygon	3923.4	11675.5	920	0	645	2	720644.2	4215.3
5. AN83_coor_353_357.tif	e40a0c7d-4536-46f5-a160-817c05270f27	Annotation	CENT3	Left: CENT3	CENT	Polygon	3923.4	11675.5	984	0	920	2	720644.2	4215.3
5. AN83_coor_353_357.tif	d900012e-38e3-4934-83e3-14f0525c1776	Annotation	CUL	Left: CUL	VERM	Polygon	3517.4	12084.9	928	0	645	8	993259.4	8441.2
5. AN83_coor_353_357.tif	67a28d9a-54ec-4e54-a00f-a9dc7704fa42	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Polygon	3517.4	12084.9	1091	0	928	8	993259.4	8441.2
5. AN83_coor_353_357.tif	4788f14a-8b33-47bf-88e2-675e178b0bfc	Annotation	DEC	Left: DEC	VERM	Geometry	3717.1	12715.1	936	0	645	2	352794.9	4659.3
5. AN83_coor_353_357.tif	e377f5f3-3ef8-49a9-9b0f-7a75bbb783d9	Annotation	FOTU	Left: FOTU	VERM	Polygon	3804.2	13155	944	0	645	1	449657.7	3027.4
5. AN83_coor_353_357.tif	fdc2224d-8ad9-4945-8659-442d3fb99608	Annotation	CH	Left: CH	grey	Geometry	2472	7331.6	567	0	8	814	16117451.4	29842.1
5. AN83_coor_353_357.tif	f71c60cf-4106-44a3-ab4b-2d30bde7e70a	Annotation	CTX	Left: CTX	CH	Geometry	2472	7331.6	688	0	567	814	16117451.4	29842.1
5. AN83_coor_353_357.tif	a1fcc46c-1656-4796-844f-adbfb0907ffc	Annotation	CTXpl	Left: CTXpl	CTX	Geometry	2472	7331.6	695	0	688	814	16117451.4	29842.1
5. AN83_coor_353_357.tif	f976a1eb-5b59-4160-b7b9-1b359adc7dc4	Annotation	HPF	Left: HPF	CTXpl	Geometry	2777.8	8630.3	1089	0	695	373	4543784.4	11288.5
5. AN83_coor_353_357.tif	762ea1e8-6ea0-4315-8af5-7414b6f1d9f7	Annotation	HIP	Left: HIP	HPF	Geometry	2859	8301.6	1080	0	1089	319	3484590.6	8838.4
5. AN83_coor_353_357.tif	691334f8-f0a4-41f2-9da4-326290b33e33	Annotation	IG	Left: IG	HIP	Polygon	4165.7	6884.9	19	0	1080	0	21073.6	743.82
5. AN83_coor_353_357.tif	6c4121e9-6b46-4062-b602-470f86a40924	Annotation	DG	Left: DG	HIP	Geometry	2991.7	8413.5	726	0	1080	125	1288925.1	4665.4
5. AN83_coor_353_357.tif	e798d7a4-3af9-41a2-913a-992303cb076b	Annotation	DG-sg	Left: DG-sg	DG	Geometry	3002.9	8510	632	0	726	62	349646.6	2609.4
5. AN83_coor_353_357.tif	0eaa8271-df7e-4e7f-b9a4-2f796346d6b3	Annotation	DG-mo	Left: DG-mo	DG	Geometry	2987.6	8377.6	10703	0	726	63	939140.4	7275
