Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
22.  AN83_coor_693_697.tif	d31aad19-8138-4411-a142-22694d212be0	Annotation	Root		Root object (Image)	Geometry	4500.7	8046.2	NaN	NaN	NaN	6286	71170298.1	49270.5
22.  AN83_coor_693_697.tif	48943373-38a7-4ae9-805f-665426ab72b4	Annotation	Root		Root object (Image)	Geometry	4500.7	8046.2	NaN	NaN	NaN	6286	71170298.1	49270.5
22.  AN83_coor_693_697.tif	6c76de14-60d0-489e-be47-ac09ca5c7bea	Annotation	root	Left: root	Root	Geometry	2841	8047.6	997	0	NaN	3756	36335907.6	34154.1
22.  AN83_coor_693_697.tif	1e596685-cd52-4a4a-a2f8-0643d32e237f	Annotation	grey	Left: grey	root	Geometry	2823.9	7923.3	8	0	997	3275	32611544.1	93000.6
22.  AN83_coor_693_697.tif	19db46f4-c122-4be3-bcb1-eae29aa9c773	Annotation	CB	Left: CB	grey	Geometry	2193.2	12105.3	512	0	8	39	2496642.5	14564.8
22.  AN83_coor_693_697.tif	20d55356-39ae-4587-8bf3-bedbf19def1b	Annotation	CBN	Left: CBN	CB	Polygon	2302.3	11500.5	519	0	512	0	22461.5	610.38
22.  AN83_coor_693_697.tif	d7f0c596-ad9a-48d6-9dbe-e502a105d3e4	Annotation	DN	Left: DN	CBN	Polygon	2302.3	11500.5	846	0	519	0	22461.5	610.38
22.  AN83_coor_693_697.tif	874713ca-783e-408f-ba35-d21140fd7b6e	Annotation	CBX	Left: CBX	CB	Geometry	2185.5	12126.5	528	0	512	31	2429029.8	12470
22.  AN83_coor_693_697.tif	15c70263-f634-4c8b-a423-6f4377f42797	Annotation	HEM	Left: HEM	CBX	Geometry	2056.8	12043.7	1073	0	528	31	2279460	10275.8
22.  AN83_coor_693_697.tif	000c7e80-bcaa-4e70-866f-25191c8b7ca2	Annotation	PRM	Left: PRM	HEM	Polygon	2010.2	12477.4	1025	0	1073	17	773008.9	3625.3
22.  AN83_coor_693_697.tif	eba501c9-a850-4c17-aeba-6f3117c127c7	Annotation	COPY	Left: COPY	HEM	Geometry	2741.7	12681.4	1033	0	1073	8	440404.8	3313.4
22.  AN83_coor_693_697.tif	e8fb7263-6f6e-44a1-aa7f-843636418b9e	Annotation	PFL	Left: PFL	HEM	Geometry	1787.1	11523.5	1041	0	1073	2	981740.7	6841.5
22.  AN83_coor_693_697.tif	1c204ea2-1d25-43d6-8126-318337b54209	Annotation	FL	Left: FL	HEM	Geometry	2046.7	10794.6	1049	0	1073	4	84246.3	1261.4
22.  AN83_coor_693_697.tif	df41fd0d-36c2-45fa-a7aa-d2396fa00103	Annotation	VERM	Left: VERM	CBX	Geometry	4147.2	13387.9	645	0	528	0	149569.8	2194.2
22.  AN83_coor_693_697.tif	bdb7e067-9825-46dc-9289-af959b78cb2c	Annotation	UVU	Left: UVU	VERM	Geometry	4147.2	13387.9	957	0	645	0	149569.8	2194.2
22.  AN83_coor_693_697.tif	3c3324f3-6be9-495c-8a8b-01738caed68a	Annotation	CH	Left: CH	grey	Geometry	2477.2	6356.9	567	0	8	2606	19749543.2	49551.9
22.  AN83_coor_693_697.tif	881de22f-34f2-42d7-8c4a-5ad1aea3f762	Annotation	CNU	Left: CNU	CH	Geometry	2915.7	6549	623	0	567	1041	6050941.8	17081.6
22.  AN83_coor_693_697.tif	9a42b8d6-0088-4110-b7b2-1511cc4812f9	Annotation	PAL	Left: PAL	CNU	Geometry	3184.6	7057.9	803	0	623	189	795941	9897.1
22.  AN83_coor_693_697.tif	b03087ec-8c8a-4769-8614-c0bda3a6813c	Annotation	PALc	Left: PALc	PAL	Geometry	3786.3	6646.6	809	0	803	6	172855.4	2128.7
22.  AN83_coor_693_697.tif	c5662d90-83db-40a9-83fc-a4f67a8ab5f3	Annotation	BST	Left: BST	PALc	Geometry	3786.3	6646.6	351	0	809	6	172855.4	2128.7
22.  AN83_coor_693_697.tif	100f5582-bac2-45db-97b4-148836ad5f5f	Annotation	PALd	Left: PALd	PAL	Polygon	2666.1	7429.5	818	0	803	176	484030.6	4533.1
22.  AN83_coor_693_697.tif	d2ae2347-db7b-4b6c-b122-affc8a2dd23b	Annotation	GPe	Left: GPe	PALd	Polygon	2666.1	7429.5	1022	0	818	176	484030.6	4533.1
22.  AN83_coor_693_697.tif	fc517328-07f4-4854-b751-ef93d6bcc7e9	Annotation	PALm	Left: PALm	PAL	Geometry	4571.9	6010.3	826	0	803	3	97316	1846.5
22.  AN83_coor_693_697.tif	28171268-2476-4ec0-b524-2008ec01565f	Annotation	TRS	Left: TRS	PALm	Polygon	4491.6	6583	581	0	826	0	1633.4	163.28
22.  AN83_coor_693_697.tif	a1433581-9209-4064-a885-7ed24fed5da0	Annotation	MSC	Left: MSC	PALm	Polygon	4574	6001.9	904	0	826	3	94600.1	1680.3
22.  AN83_coor_693_697.tif	34d55658-b1e5-4a8a-a7be-4b1abdc720ec	Annotation	MS	Left: MS	MSC	Polygon	4574	6001.9	564	0	904	3	94600.1	1680.3
22.  AN83_coor_693_697.tif	ef7970c2-c55a-4de5-9a59-83f4a5dfa2b0	Annotation	STR	Left: STR	CNU	Geometry	2874.9	6472	477	0	623	852	5254999.6	15096.2
22.  AN83_coor_693_697.tif	4987f8a4-5dc0-4acd-a54d-8d0fc52b5436	Annotation	LSX	Left: LSX	STR	Polygon	4200.3	5876.5	275	0	477	110	831853.1	4340
22.  AN83_coor_693_697.tif	1900b449-f67b-431d-a479-7d99cb4abe4f	Annotation	LS	Left: LS	LSX	Polygon	4184	5846.7	242	0	275	109	780476.9	3613.6
22.  AN83_coor_693_697.tif	062fc363-3829-47ca-9aae-093962c04d58	Annotation	LSr	Left: LSr	LS	Polygon	4302.7	5629	258	0	242	64	417906	2779.3
22.  AN83_coor_693_697.tif	835c1438-c84f-4de6-8bb9-716f107c0d7b	Annotation	LSv	Left: LSv	LS	Polygon	4047.2	6097.6	266	0	242	45	362570.8	2911.9
22.  AN83_coor_693_697.tif	0b7faf50-0e31-4445-93eb-31ea65a20e8a	Annotation	SF	Left: SF	LSX	Polygon	4447.3	6329.7	310	0	275	1	51376.2	1161.1
22.  AN83_coor_693_697.tif	73c92f4d-5d41-4cc1-abfd-a5d653538288	Annotation	STRd	Left: STRd	STR	Polygon	2573.5	6604.9	485	0	477	705	4237658.3	10250
