Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
14.  AN83_coor_533_537.tif	bd826e03-7f32-4aee-93c5-23e2d26a93d0	Annotation	Root		Root object (Image)	Geometry	4458.8	8154.8	NaN	NaN	NaN	5027	72593420.6	64293.5
14.  AN83_coor_533_537.tif	735e3931-2b3f-4fb1-bbf6-fc94b5bfa3cb	Annotation	Root		Root object (Image)	Geometry	4458.8	8154.8	NaN	NaN	NaN	5027	72593420.6	64293.5
14.  AN83_coor_533_537.tif	bf4ba936-9250-4cf3-91e8-b96cb8f59a68	Annotation	root	Left: root	Root	Polygon	2748.4	8267.4	997	0	NaN	2971	36370323.9	31992.7
14.  AN83_coor_533_537.tif	e8505a9f-08a5-46e3-9766-948a39d8dcbc	Annotation	grey	Left: grey	root	Geometry	2669.1	8071.7	8	0	997	2317	30374881.2	84170.4
14.  AN83_coor_533_537.tif	54876abe-4158-42c2-9fd2-45e88496e218	Annotation	CB	Left: CB	grey	Geometry	2802.1	12130.2	512	0	8	142	6124355.1	29466.9
14.  AN83_coor_533_537.tif	1c57c713-43f3-4234-90aa-44542a96f838	Annotation	CBN	Left: CBN	CB	Geometry	3621.8	12124.7	519	0	512	18	575824.7	4070.2
14.  AN83_coor_533_537.tif	bf9ea0bd-a634-4efd-80c1-cb9568e0cc27	Annotation	IP	Left: IP	CBN	Polygon	3274.8	11906.6	91	0	519	10	186124.7	1624
14.  AN83_coor_533_537.tif	65e81f41-5b75-4ea2-9c28-3f17ce04ba77	Annotation	FN	Left: FN	CBN	Polygon	3787.6	12228.8	989	0	519	8	389700	2446.3
14.  AN83_coor_533_537.tif	85a4ff4a-7b94-4d72-bf64-af4136853635	Annotation	CBX	Left: CBX	CB	Geometry	2703.4	12144.4	528	0	512	122	5433033.6	25241.5
14.  AN83_coor_533_537.tif	a2531077-7e93-4475-b0d9-29b204bba4ee	Annotation	HEM	Left: HEM	CBX	Geometry	2167.8	12216.7	1073	0	528	54	3613372.7	16312.7
14.  AN83_coor_533_537.tif	c53844e2-7379-4322-8608-dd621b131c35	Annotation	PRM	Left: PRM	HEM	Polygon	2759	12958.8	1025	0	1073	11	778185.8	4999.4
14.  AN83_coor_533_537.tif	01ee3d67-fb1b-4e8e-836a-fb717e3d233f	Annotation	COPY	Left: COPY	HEM	Geometry	3298.4	12898.1	1033	0	1073	0	408575.2	3698
14.  AN83_coor_533_537.tif	220c6c4b-bd30-45b9-bcf2-5f47dabb0a50	Annotation	SIM	Left: SIM	HEM	Polygon	2159.3	11081.9	1007	0	1073	23	453718.9	4071.7
14.  AN83_coor_533_537.tif	1ac8fa4b-bcd4-431b-ae1b-1aaa1dec1ea1	Annotation	AN	Left: AN	HEM	Polygon	1702.4	12043.8	1017	0	1073	20	1972892.9	9084.3
14.  AN83_coor_533_537.tif	fbc4ff62-4a4d-4bff-8a1d-1e039a89b936	Annotation	ANcr1	Left: ANcr1	AN	Polygon	1612.5	11536.3	1056	0	1017	10	773343.2	5464
14.  AN83_coor_533_537.tif	46070f9b-b683-4c63-b65a-e7f9b49a0e2b	Annotation	ANcr2	Left: ANcr2	AN	Polygon	1760.4	12371	1064	0	1017	10	1199549.7	6401.8
