Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
0. AN83_coor_253_257.tif	9d168ae3-9129-4785-960f-b93f5515a64d	Annotation	Root		Root object (Image)	Geometry	4556.2	8802.2	NaN	NaN	NaN	1896	46821523.8	44407.8
0. AN83_coor_253_257.tif	fda2085d-fc12-4334-8a09-11cb4544e755	Annotation	Root		Root object (Image)	Geometry	4556.2	8802.2	NaN	NaN	NaN	1896	46821523.8	44407.8
0. AN83_coor_253_257.tif	53450cb0-394d-4d12-b56c-8e8f84be6426	Annotation	root	Left: root	Root	Geometry	2959.3	8791.6	997	0	NaN	987	21880821.7	29481.1
0. AN83_coor_253_257.tif	6e9a2172-67a4-46b4-add9-549e50d91e10	Annotation	grey	Left: grey	root	Geometry	2933.7	8796	8	0	997	667	19637890.4	46840.2
0. AN83_coor_253_257.tif	a706f2d3-6bf1-40be-b71d-43667d478e8e	Annotation	CB	Left: CB	grey	Polygon	3321.7	12031.4	512	0	8	55	3368800.9	15232
0. AN83_coor_253_257.tif	ce49cdeb-d620-4bda-aa3f-a03db92891a4	Annotation	CBX	Left: CBX	CB	Polygon	3321.3	12032.9	528	0	512	55	3361645.6	15270.1
0. AN83_coor_253_257.tif	c39ef3a8-acc8-4050-91d7-daa1641d2780	Annotation	HEM	Left: HEM	CBX	Geometry	2592.9	11860	1073	0	528	48	1312043.7	7069.6
0. AN83_coor_253_257.tif	dae8b609-9fba-495d-b81e-55dba201e379	Annotation	SIM	Left: SIM	HEM	Polygon	2632.8	11732.2	1007	0	1073	28	989691.5	6470.8
0. AN83_coor_253_257.tif	861a2c96-6592-4b0e-aebc-00f41159aa19	Annotation	AN	Left: AN	HEM	Geometry	2470.1	12252.4	1017	0	1073	20	322352.3	3075.2
0. AN83_coor_253_257.tif	be1788b5-cd79-469c-8d59-aaf5802253b0	Annotation	ANcr1	Left: ANcr1	AN	Geometry	2470.1	12252.4	1056	0	1017	20	322352.3	3075.2
0. AN83_coor_253_257.tif	368926f8-a39c-446c-b43f-858c206130f9	Annotation	VERM	Left: VERM	CBX	Geometry	3787.5	12143.5	645	0	528	7	2049714	11134.4
0. AN83_coor_253_257.tif	9a7c588f-e5db-48d1-baad-4b662997c086	Annotation	CENT	Left: CENT	VERM	Polygon	4197.1	11391.9	920	0	645	0	175325.8	1776.6
0. AN83_coor_253_257.tif	8b0cb234-728a-49a4-8d37-dd0220236d57	Annotation	CENT3	Left: CENT3	CENT	Polygon	4197.1	11391.9	984	0	920	0	175325.8	1776.6
0. AN83_coor_253_257.tif	ed5dd0ba-56c6-4f31-940a-3bf4633ea796	Annotation	CUL	Left: CUL	VERM	Polygon	3719.9	11806.4	928	0	645	4	928001.7	6284.8
0. AN83_coor_253_257.tif	f17281e1-8843-476f-8f0a-fa1921705cd2	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Polygon	3719.9	11806.4	1091	0	928	4	928001.7	6284.8
