Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
1. AN83_coor_273_277.tif	24fc2114-0ccd-4f04-a71f-dcae9ff133d5	Annotation	Root		Root object (Image)	Geometry	4593.6	8785.5	NaN	NaN	NaN	2007	49644480.5	59330.8
1. AN83_coor_273_277.tif	bc0dc083-0d5b-4871-ad3f-4f4c25ebd7be	Annotation	Root		Root object (Image)	Geometry	4593.6	8785.5	NaN	NaN	NaN	2007	49644480.5	59330.8
1. AN83_coor_273_277.tif	01ea1496-586b-4ed6-9bf5-8c9658acbc40	Annotation	root	Left: root	Root	Polygon	2947.5	8828.8	997	0	NaN	1063	22940042.7	29272.9
1. AN83_coor_273_277.tif	867220e9-3d0a-4096-b827-8a860874c6af	Annotation	grey	Left: grey	root	Geometry	2919.9	8830.3	8	0	997	699	20758961.6	48788.5
1. AN83_coor_273_277.tif	d5f0bd4f-95fb-4656-b577-55521d734aeb	Annotation	CB	Left: CB	grey	Polygon	3301.5	12097.6	512	0	8	45	3819234.8	16250.6
1. AN83_coor_273_277.tif	93844b82-71e1-47e1-b2f5-1b9057321e0c	Annotation	CBX	Left: CBX	CB	Polygon	3301	12099.2	528	0	512	45	3810973.2	16270.7
1. AN83_coor_273_277.tif	92fd3229-0860-4986-a103-34598171a31a	Annotation	HEM	Left: HEM	CBX	Polygon	2586.6	11943	1073	0	528	30	1681875.7	7945.9
1. AN83_coor_273_277.tif	d4eeeae8-febb-4b1a-8762-89335ec1033c	Annotation	SIM	Left: SIM	HEM	Polygon	2657.6	11719	1007	0	1073	24	997402.2	7220
1. AN83_coor_273_277.tif	5f60e6ea-4b8b-4b2c-9ca9-c05574982818	Annotation	AN	Left: AN	HEM	Polygon	2483.1	12269.4	1017	0	1073	6	684473.5	4047.1
1. AN83_coor_273_277.tif	b791eca9-1fb3-4265-8d38-7d89eb054adb	Annotation	ANcr1	Left: ANcr1	AN	Polygon	2483.1	12269.4	1056	0	1017	6	684473.5	4047.1
1. AN83_coor_273_277.tif	d7a68424-a321-4aca-a67c-4eff252adfad	Annotation	VERM	Left: VERM	CBX	Geometry	3865.2	12222.6	645	0	528	15	2129148.2	11559.8
1. AN83_coor_273_277.tif	6adcc45d-d323-4f91-bd82-88d17a559db8	Annotation	CENT	Left: CENT	VERM	Polygon	4166.8	11529.4	920	0	645	0	281952.3	2242.4
1. AN83_coor_273_277.tif	ea9a15a8-4a7c-4343-97c3-3c2a839642f3	Annotation	CENT3	Left: CENT3	CENT	Polygon	4166.8	11529.4	984	0	920	0	281952.3	2242.4
1. AN83_coor_273_277.tif	f5d5e97e-f801-49a5-93a3-059249dd47ec	Annotation	CUL	Left: CUL	VERM	Polygon	3737.9	11925.4	928	0	645	12	944317.1	6825.2
1. AN83_coor_273_277.tif	03901564-4042-43ea-b547-f0d002beec46	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Polygon	3737.9	11925.4	1091	0	928	12	944317.1	6825.2
1. AN83_coor_273_277.tif	b8fccd81-2c54-45c3-8912-a843b290aac7	Annotation	DEC	Left: DEC	VERM	Geometry	3904.2	12750	936	0	645	3	902879.9	6726.5
1. AN83_coor_273_277.tif	7fd66862-c247-4514-95e2-15ea89681a2b	Annotation	CH	Left: CH	grey	Geometry	2656.7	7600.2	567	0	8	582	13908396.5	28469.2
1. AN83_coor_273_277.tif	59edff79-26de-40de-887d-b925006b0937	Annotation	CTX	Left: CTX	CH	Geometry	2656.7	7600.2	688	0	567	582	13908396.5	28469.2
1. AN83_coor_273_277.tif	3ea15100-c62a-440f-a7d3-78aead3593dd	Annotation	CTXpl	Left: CTXpl	CTX	Geometry	2656.7	7600.2	695	0	688	582	13908396.5	28469.2
1. AN83_coor_273_277.tif	7a06ceb2-bbff-48d9-9533-562dfedd4e97	Annotation	Isocortex	Left: Isocortex	CTXpl	Geometry	2592.9	7354.5	315	0	695	483	11377524.2	21955.9
1. AN83_coor_273_277.tif	5b88b96b-a4d7-4a2e-9830-bd5e8ce29a40	Annotation	PTLp	Left: PTLp	Isocortex	Geometry	1673.7	8848.7	22	0	315	9	185051.6	2028.7
1. AN83_coor_273_277.tif	aa2ffa3a-4a38-438f-b74d-af9491003b30	Annotation	VISrl	Left: VISrl	PTLp	Geometry	1673.7	8848.7	417	0	22	9	185051.6	2028.7
1. AN83_coor_273_277.tif	e87b418b-7355-49df-9ef6-6f6d51b8e256	Annotation	VISrl6b	Left: VISrl6b	VISrl	Geometry	1856.2	8817.9	312782624	0	417	3	22424.2	1171
1. AN83_coor_273_277.tif	83d7ed09-7f2e-4a07-8055-a60abaff8e74	Annotation	VISrl4	Left: VISrl4	VISrl	Polygon	1328.5	8751.6	312782612	0	417	0	726.06	120.32
1. AN83_coor_273_277.tif	035c8e97-3330-4d7d-abde-6e14ee25b5e9	Annotation	VISrl6a	Left: VISrl6a	VISrl	Polygon	1719.5	8873.1	312782620	0	417	5	110614.2	1530.1
1. AN83_coor_273_277.tif	ba1bd571-33ce-4317-ba62-c38546443810	Annotation	VISrl5	Left: VISrl5	VISrl	Polygon	1503.1	8814.7	312782616	0	417	1	51286.3	1048.9
1. AN83_coor_273_277.tif	6cd0e3bb-a1d8-4a0a-94d7-b1146d755110	Annotation	ACA	Left: ACA	Isocortex	Geometry	4102.4	6245	31	0	315	52	985586	5500.9
