Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
12.  AN83_coor_493_497.tif	51153960-d84e-46da-b965-0e98c661fd51	Annotation	Root		Root object (Image)	Polygon	4479.7	8258	NaN	NaN	NaN	4776	70597882.6	43654.1
12.  AN83_coor_493_497.tif	acad93de-6ead-4c83-ab0a-c7d7eda38c94	Annotation	Root		Root object (Image)	Polygon	4479.7	8258	NaN	NaN	NaN	4776	70597882.6	43654.1
12.  AN83_coor_493_497.tif	713400ce-bd6a-4ff3-a685-d7ac19c990f5	Annotation	root	Left: root	Root	Polygon	2751.7	8305.6	997	0	NaN	2688	35059374.3	31377
12.  AN83_coor_493_497.tif	6597aa92-3308-4269-8ef0-9cfc4538498c	Annotation	grey	Left: grey	root	Geometry	2667.5	8181.1	8	0	997	2108	29535643.9	81184
12.  AN83_coor_493_497.tif	fe834216-980f-4c9f-9ded-8671401deefb	Annotation	CB	Left: CB	grey	Geometry	2655.4	12073.9	512	0	8	186	5465826.8	26955.1
12.  AN83_coor_493_497.tif	0cf56f21-9214-4faf-b610-be5db823ef35	Annotation	CBN	Left: CBN	CB	Polygon	3370.5	12442.4	519	0	512	0	118471.3	1279.8
12.  AN83_coor_493_497.tif	7cab3c8a-286b-4596-9212-03fbd10a456c	Annotation	FN	Left: FN	CBN	Polygon	3370.5	12442.4	989	0	519	0	118471.3	1279.8
12.  AN83_coor_493_497.tif	f06f0296-a28f-4fd5-af97-e8f0f60e114b	Annotation	CBX	Left: CBX	CB	Geometry	2634.9	12074.2	528	0	512	184	5301746.9	26019.6
12.  AN83_coor_493_497.tif	e91947e6-a345-42c6-bcab-d1d9601073ef	Annotation	HEM	Left: HEM	CBX	Polygon	2140.1	12149.3	1073	0	528	61	3570056.2	16776.7
12.  AN83_coor_493_497.tif	b424d015-ac5f-48d7-94fd-d3f6a5171928	Annotation	PRM	Left: PRM	HEM	Polygon	2901.4	13003.6	1025	0	1073	3	633473.3	4392.7
